col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ICBP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ICBP
1,21-11-2025,8.350,8.400,8.325,8.350,9.262.700,77.343.545.000,0.30%,0.90%,0.00%,0.30%,0.60%,0.89%,ICBP
2,20-11-2025,8.500,8.525,8.325,8.325,15.336.300,127.674.697.500,1.19%,1.49%,-0.89%,-0.89%,0.29%,2.35%,ICBP
3,19-11-2025,8.325,8.525,8.325,8.400,20.237.100,169.991.640.000,0.00%,2.40%,0.00%,0.90%,2.40%,2.35%,ICBP
4,18-11-2025,8.375,8.475,8.325,8.325,14.213.100,118.324.057.500,0.00%,1.19%,-0.60%,-0.60%,1.19%,1.77%,ICBP
5,17-11-2025,8.500,8.700,8.325,8.375,21.504.300,180.098.512.500,0.89%,3.26%,-1.19%,-0.59%,2.35%,3.16%,ICBP
6,14-11-2025,8.500,8.550,8.425,8.425,9.077.300,76.476.252.500,0.29%,0.88%,-0.59%,-0.59%,0.59%,0.88%,ICBP
7,13-11-2025,8.525,8.600,8.475,8.475,9.366.500,79.381.087.500,0.00%,0.88%,-0.59%,-0.59%,0.88%,0.87%,ICBP
8,12-11-2025,8.550,8.675,8.525,8.525,7.459.700,63.593.942.500,0.00%,1.46%,-0.29%,-0.29%,1.46%,1.73%,ICBP
9,11-11-2025,8.725,8.725,8.525,8.550,9.738.300,83.262.465.000,0.87%,0.87%,-1.45%,-1.16%,0.00%,1.43%,ICBP
10,10-11-2025,8.700,8.725,8.600,8.650,6.371.300,55.111.745.000,1.16%,1.45%,0.00%,0.58%,0.29%,2.01%,ICBP
11,07-11-2025,8.550,8.650,8.550,8.600,5.446.000,46.835.600.000,-0.29%,0.87%,-0.29%,0.29%,1.17%,1.16%,ICBP
12,06-11-2025,8.650,8.675,8.550,8.575,15.202.700,130.363.152.500,-0.57%,-0.29%,-1.72%,-1.44%,0.29%,2.31%,ICBP
13,05-11-2025,8.500,8.700,8.475,8.700,7.693.000,66.929.100.000,0.29%,2.65%,0.00%,2.65%,2.35%,2.59%,ICBP
14,04-11-2025,8.500,8.600,8.475,8.475,14.071.000,119.251.725.000,0.00%,1.18%,-0.29%,-0.29%,1.18%,1.16%,ICBP
15,03-11-2025,8.700,8.700,8.500,8.500,14.837.200,126.116.200.000,0.00%,0.00%,-2.30%,-2.30%,0.00%,0.00%,ICBP
16,31-10-2025,8.800,8.850,8.700,8.700,9.693.500,84.333.450.000,0.00%,0.57%,-1.14%,-1.14%,0.57%,1.69%,ICBP
17,30-10-2025,8.700,8.875,8.700,8.800,13.885.200,122.189.760.000,0.00%,2.01%,0.00%,1.15%,2.01%,2.54%,ICBP
18,29-10-2025,8.800,8.825,8.650,8.700,16.526.500,143.780.550.000,0.28%,0.57%,-1.42%,-0.85%,0.28%,1.42%,ICBP
19,28-10-2025,8.875,8.925,8.700,8.775,12.338.900,108.273.847.500,0.28%,0.85%,-1.69%,-0.85%,0.56%,1.96%,ICBP
20,27-10-2025,8.800,8.975,8.750,8.850,8.921.900,78.958.815.000,0.00%,1.99%,-0.57%,0.57%,1.99%,1.95%,ICBP
