col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MAPI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MAPI
1,21-11-2025,1.320,1.350,1.295,1.295,19.141.300,24.787.983.500,0.00%,2.27%,-1.89%,-1.89%,2.27%,2.22%,MAPI
2,20-11-2025,1.330,1.350,1.320,1.320,12.870.600,16.989.192.000,0.38%,1.89%,-0.38%,-0.38%,1.50%,2.22%,MAPI
3,19-11-2025,1.320,1.340,1.320,1.325,6.630.800,8.785.810.000,0.00%,1.52%,0.00%,0.38%,1.52%,2.61%,MAPI
4,18-11-2025,1.340,1.350,1.305,1.320,18.020.600,23.787.192.000,0.00%,0.75%,-2.61%,-1.49%,0.75%,3.33%,MAPI
5,17-11-2025,1.320,1.355,1.305,1.340,27.974.000,37.485.160.000,1.54%,4.23%,0.38%,3.08%,2.65%,6.64%,MAPI
6,14-11-2025,1.320,1.320,1.265,1.300,25.539.500,33.201.350.000,-0.38%,-0.38%,-4.53%,-1.89%,0.00%,1.14%,MAPI
7,13-11-2025,1.345,1.345,1.305,1.325,21.116.200,27.978.965.000,0.37%,0.37%,-2.61%,-1.12%,0.00%,1.49%,MAPI
8,12-11-2025,1.360,1.370,1.325,1.340,14.101.900,18.896.546.000,0.74%,1.48%,-1.85%,-0.74%,0.74%,3.28%,MAPI
9,11-11-2025,1.420,1.420,1.325,1.350,33.732.900,45.539.415.000,0.00%,0.00%,-6.69%,-4.93%,0.00%,3.17%,MAPI
10,10-11-2025,1.405,1.420,1.375,1.420,12.955.400,18.396.668.000,1.08%,2.16%,-1.08%,2.16%,1.07%,2.46%,MAPI
